date,daily_general_sentiment
2024-06-04,-0.7174592421986052
2024-06-05,0.3885632927284145
2024-06-06,-0.30598176342861705
2024-06-07,0.09269854599169014
2024-06-08,0.4199711063476102
2024-06-09,0.20147170453025703
2024-06-10,-0.7616376549541714
2024-06-11,0.4271135981228264
2024-06-12,0.07313845473671987
2024-06-13,0.569615534266757
2024-06-14,0.06870168060902643
2024-06-15,0.7343885860613586
2024-06-16,0.05594492422672611
2024-06-17,-0.44937336055394095
2024-06-18,-0.5610997633240666
2024-06-19,-0.542892631837089
2024-06-20,-0.20493543407458828
2024-06-21,0.44652376213459977
2024-06-22,0.5429025053712068
2024-06-23,-0.005938826734219629
2024-06-24,-0.12975433229866146
2024-06-25,0.6850781465986746
2024-06-26,0.2804956283413173
2024-06-27,-0.1788670394011529
2024-06-28,0.47963496127995553
2024-06-29,0.010782369881107982
2024-06-30,0.009057754963056339
2024-07-01,-0.07184697252013332
2024-07-02,-0.23623026072326955
2024-07-03,0.420514097594148
2024-07-04,-0.03220338964220983
2024-07-05,-0.3363244907917993
2024-07-06,0.11677165559784007
2024-07-07,-0.08207378560342089
2024-07-08,-0.5405226097395696
2024-07-09,0.25831119734587293
2024-07-10,0.5392070784571465
2024-07-11,0.050095708761525026
2024-07-12,-0.06995915295667827
2024-07-13,-0.043763981980470025
2024-07-14,-0.054232199801540454
2024-07-15,0.046778394976483305
2024-07-16,0.36284202770572416
2024-07-17,0.8024715932995082
2024-07-18,0.4874436614266896
2024-07-19,0.492254630395444
2024-07-20,0.33905802599441015
2024-07-21,-0.5387770879001119
2024-07-22,0.035348026410866595
2024-07-23,-0.3254771829252464
2024-07-24,-0.015279076748714038
2024-07-25,0.1537942616002826
2024-07-26,-0.05483546899874572
2024-07-27,0.6212240223624613
2024-07-28,0.09622716748785948
2024-07-29,0.4302286175792543
2024-07-30,0.390882866846348
2024-07-31,0.2037249069063125
2024-08-01,0.431537429483756
2024-08-02,0.3154332590905154
2024-08-03,0.06648257314666521
2024-08-04,0.005068858844483637
2024-08-05,0.2610504053491777
2024-08-06,0.035833667161618316
2024-08-07,0.3164912863212449
2024-08-08,-0.5234746068047808
2024-08-09,0.4664130396326236
2024-08-10,0.626962371825115
2024-08-11,-0.3219819212122995
2024-08-12,0.43151423531763405
2024-08-13,-0.29385503066452606
2024-08-14,-0.2090474710542302
2024-08-15,0.13489620550752485
2024-08-16,0.1929566142632645
2024-08-17,0.42718668764127776
2024-08-18,-0.7910498065158982
2024-08-19,0.5536588047395539
2024-08-20,-0.3105420920012489
2024-08-21,0.18300101712630643
2024-08-22,0.10960127805232801
2024-08-23,0.23018552157345065
2024-08-24,0.9074674500048093
2024-08-25,0.37400472087238057
2024-08-26,0.28715344466573095
2024-08-27,-0.10512736819998116
2024-08-28,-0.07496624556944975
2024-08-29,0.4260149600783012
2024-08-30,0.05804788246106598
2024-08-31,-0.8009860765758929
2024-09-01,-0.08639364018887287
2024-09-02,0.6687030095804533
2024-09-03,-0.6049417956486343
2024-09-04,0.7863628138678567
2024-09-05,0.3395183365590409
2024-09-06,0.7780257716170551
2024-09-07,0.7678691835363274
2024-09-08,0.337429029983583
2024-09-09,0.22410150512946586
2024-09-10,0.2234458015277745
2024-09-11,0.1561669778093535
2024-09-12,-0.3201836949684445
2024-09-13,0.19021965775651617
2024-09-14,0.3024077063637015
2024-09-15,-0.3792273746219708
2024-09-16,-0.2577849424567231
2024-09-17,0.3794760504788438
2024-09-18,0.5011870304360235
2024-09-19,0.1762168604409356
2024-09-20,0.9685946558991789
2024-09-21,0.5707660875292663
2024-09-22,0.25437016272963936
2024-09-23,0.019163939457952986
2024-09-24,0.5457438457975556
2024-09-25,0.967943611473666
2024-09-26,-0.6489136174883099
2024-09-27,0.18528665863434796
2024-09-28,0.45037644477626654
2024-09-29,-0.2161978012402168
2024-09-30,0.10858556876537298
2024-10-01,0.5531053668564393
2024-10-02,-0.5588508659769689
2024-10-03,0.02164574301594016
2024-10-04,0.5272145247230045
2024-10-05,0.1883458611187464
2024-10-06,-0.18339670422047208
2024-10-07,-0.11138141335675049
2024-10-08,0.2944854901912352
2024-10-09,0.25733798710592076
2024-10-10,0.30771648339307606
2024-10-11,0.3344426978380481
2024-10-12,0.43841548849761586
2024-10-13,0.6937711822069419
2024-10-14,0.03827923978372265
2024-10-15,0.12659188713259004
2024-10-16,0.9374309372727332
2024-10-17,0.6877509223754098
2024-10-18,0.4413195982471124
2024-10-19,0.6550711917894945
2024-10-20,0.7496576934111753
2024-10-21,0.6916778621454029
2024-10-22,0.5773351233817985
2024-10-23,0.8874446955583037
2024-10-24,0.5818657162723545
2024-10-25,0.6917529530156117
2024-10-26,0.8243688223907849
2024-10-27,0.6127801067756887
2024-10-28,-0.5619348433391474
2024-10-29,0.28093820472497855
2024-10-30,0.5699709626946712
2024-10-31,0.2432701769642513
2024-11-01,0.6898035113211038
2024-11-02,0.685000577568293
2024-11-03,0.9151304577531357
2024-11-04,0.6183358296699762
