Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",𝙬𝙞𝙡𝙡,https://x.com/gradeycook,gradeycook,False,2024-11-04 18:53:05+00:00,False,rowanjcook is officially endorsing Donald J Trump. #MAGA🇺🇸,1853510799500730701,https://x.com/gradeycook/status/1853510799500730701,3,2,14,875,0,https://pbs.twimg.com/media/Gbj-P5uXcAAKcQ4.jpg;https://pbs.twimg.com/media/Gbj-P6eXQAAK0Q5.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Rose 🇧🇷🇮🇱🇺🇲🇮🇹🫡,https://x.com/RoseBacellar,RoseBacellar,True,2024-11-04 21:04:57+00:00,False,"Men, get a move on! Get your asses off the couch and vote for Donald Trump! #Maga @realDonaldTrump .",1853543981923086402,https://x.com/RoseBacellar/status/1853543981923086402,3,5,31,1355,0,https://pbs.twimg.com/tweet_video_thumb/GbkcbIAX0AAktYc.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Angel Sicily 🇺🇸,https://x.com/sicily_angel,sicily_angel,True,2024-11-04 15:56:59+00:00,False,"Good morning, now go out and vote for Donald J Trump! #TrumpVance2024ToSaveAmerica #MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",1853466479888322933,https://x.com/sicily_angel/status/1853466479888322933,5,2,18,172,0,https://pbs.twimg.com/media/GbjV8DAXIAALrd0.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Ole Murica,https://x.com/OleMurica,OleMurica,True,2024-11-04 22:39:44+00:00,False,This is the BIGGEST Election in American History Donald Trump LITERALLY took a Bullet for you The very least you can do is give him your vote Be a #PATRIOT this #Election2024 Vote TRUMP! 🇺🇸 #Trump2024 🇺🇸,1853567835236090257,https://x.com/OleMurica/status/1853567835236090257,6,22,117,9761,2,https://pbs.twimg.com/media/GbkyH1OWAAAVS4B.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",BITCOINLFG®,https://x.com/bitcoinlfgo,bitcoinlfgo,True,2024-11-04 19:27:58+00:00,False,JUST IN: Donald Trump takes the lead in key battleground states! America is ready to #MAGA again. 🇺🇸 #Election2024 #TrumpVictory,1853519575935058250,https://x.com/bitcoinlfgo/status/1853519575935058250,29,103,724,18708,5,https://pbs.twimg.com/media/GbkGO12bAAA_o_T.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",FactCheck.org,https://x.com/factcheckdotorg,factcheckdotorg,True,2024-11-04 20:49:25+00:00,False,Donald Trump’s Closing Arguments: Crime/Guns Full story here: https://www.factcheck.org/2024/10/donald-trumps-closing-arguments/ #KamalaHarris #DonaldTrump #Election2024 #factcheck,1853540074732101868,https://x.com/factcheckdotorg/status/1853540074732101868,1,2,4,2986,0,https://pbs.twimg.com/media/GbkYwnqW4AAuBYK.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",KellyCurrie45,https://x.com/KaCurrie_45,KaCurrie_45,True,2024-11-04 19:36:20+00:00,False,I’m voting for Donald Trump who will #MAGA and keep our pets safe! 🙋🏻‍♀️ if you’re with me!!!!,1853521682260209857,https://x.com/KaCurrie_45/status/1853521682260209857,4,14,24,550,0,https://pbs.twimg.com/media/GbkIJSfawAAnd2Q.jpg;https://pbs.twimg.com/media/GbkIJScaIAEDO9K.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",i,https://x.com/Miksiddiqui,Miksiddiqui,True,2024-11-04 21:54:25+00:00,False,Trump or Harris ??? Hit Like for Kamala Harris And Retweet for Donald Trump #USElection2024 #DonaldTrump #KamalaHarris #TrumpvsHarris,1853556430214680974,https://x.com/Miksiddiqui/status/1853556430214680974,1,1,3,1371,0,https://pbs.twimg.com/media/Gbknv5vWQAAtsnK.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Dean Blundell🇨🇦,https://x.com/ItsDeanBlundell,ItsDeanBlundell,True,2024-11-04 14:52:42+00:00,False,Dude has endorsed Donald Trump publicly 100 times. Thats what this is. A little nod to #Maga.,1853450303309242515,https://x.com/ItsDeanBlundell/status/1853450303309242515,18,26,102,5606,0,,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",FactCheck.org,https://x.com/factcheckdotorg,factcheckdotorg,True,2024-11-04 20:49:26+00:00,False,Donald Trump’s Closing Arguments: Crime/Guns Full story here: https://www.factcheck.org/2024/10/donald-trumps-closing-arguments/ #KamalaHarris #DonaldTrump #Election2024 #factcheck,1853540076757627248,https://x.com/factcheckdotorg/status/1853540076757627248,0,4,5,2854,0,https://pbs.twimg.com/media/GbkY0vJWsAAA-93.png;https://pbs.twimg.com/ext_tw_video_thumb/1853540015906734080/pu/img/WaWdwQ0ngpy3aK0a.jpg;https://pbs.twimg.com/ext_tw_video_thumb/1853540015919316992/pu/img/QoSYL3F5nR_mBTKc.jpg;https://pbs.twimg.com/ext_tw_video_thumb/1853540015935995904/pu/img/zQCP1_CanxtYxOY4.jpg,True,factcheckdotorg,https://x.com/factcheckdotorg,,factcheckdotorg,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Hunter Muse,https://x.com/Huntymuse,Huntymuse,True,2024-11-04 18:21:46+00:00,False,LeVert Muse is officially endorsing Donald J Trump #MAGA 🇺🇸,1853502916016914645,https://x.com/Huntymuse/status/1853502916016914645,47,25,924,35567,10,https://pbs.twimg.com/media/Gbj3FDyWcAE0cvF.jpg;https://pbs.twimg.com/media/Gbj3FF2XQAA9Y4z.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Dr. CZ,https://x.com/AngelMD1103,AngelMD1103,True,2024-11-04 20:52:35+00:00,False,🚨 BLM leader Mark Fisher shocks followers by declaring support for Donald Trump! What will this mean for the movement? Stay tuned for updates! #BLM #DonaldTrump 🤯🗳️ https://nypost.com/video/blm-leader-mark-fisher-is-voting-for-donald-trump/,1853540873176314051,https://x.com/AngelMD1103/status/1853540873176314051,2,55,56,1395,0,,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Gulf Times,https://x.com/GulfTimes_QATAR,GulfTimes_QATAR,True,2024-11-04 20:19:41+00:00,False,A presidential election unlike any other in US history entered its last full day Monday with Donald Trump and Kamala Harris scrambling for an edge in a contest each portrays as an existential moment for America. #USElection2024 #USPresidentialElection2024 #Trump2024 #KamalaHarris2024 https://www.gulf-times.com/article/693914/qatar/us-polls-tuesday-trump-harris-vie-for-top-job,1853532590658998726,https://x.com/GulfTimes_QATAR/status/1853532590658998726,1,0,0,359,0,https://pbs.twimg.com/media/GbkSCjRW8AA0KY1.png;https://pbs.twimg.com/media/GbkSD7NXEAA9J_-.png,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Comfortably Glum,https://x.com/FeloniousJTrump,FeloniousJTrump,False,2024-11-04 21:13:23+00:00,False,"Never been prouder of a political campaign than Trump 2024. Trump is a force of nature, his enemies will soon be forgotten, Donald J Trump will be remembered for a thousand years. Elon Musk, JD Vance, RFK Jr, Tulsi Gabbard, Vivek Ramaswamy we thank you all! #Trump #MAGA",1853546105482481892,https://x.com/FeloniousJTrump/status/1853546105482481892,0,0,0,42,0,https://pbs.twimg.com/media/GbkeNrAXsAAVgqh.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",FactCheck.org,https://x.com/factcheckdotorg,factcheckdotorg,True,2024-11-04 18:15:55+00:00,False,Donald Trump’s Closing Arguments: Energy Full story here: https://www.factcheck.org/2024/10/donald-trumps-closing-arguments/ #KamalaHarris #DonaldTrump #Election2024 #factcheck,1853501443128656358,https://x.com/factcheckdotorg/status/1853501443128656358,1,1,3,2950,0,https://pbs.twimg.com/media/Gbj1or8WAAAmNuq.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Alex Sanglez,https://x.com/realalexsanglez,realalexsanglez,False,2024-11-04 21:01:42+00:00,False,"Today my school held a Mock Election, and I proudly cast my vote for Donald Trump! #MAGA #Trump2024",1853543167146041817,https://x.com/realalexsanglez/status/1853543167146041817,1,0,2,175,0,https://pbs.twimg.com/media/Gbkbr9WWgAEoGIN.jpg,False,,,,,en,Top
