date,daily_political_sentiment
2024-06-04,-0.7459779005937839
2024-06-05,-0.5875344997797372
2024-06-06,-0.49258885224561805
2024-06-07,0.0
2024-06-08,0.4544688748398303
2024-06-09,0.022581335633293533
2024-06-10,-0.4039192248988514
2024-06-11,-0.04858025165495925
2024-06-12,-0.33095397448682057
2024-06-13,-0.6133871634403317
2024-06-14,-0.5716323349840884
2024-06-15,-0.3215917240176629
2024-06-16,-0.7604357019657727
2024-06-17,-0.19886987163525358
2024-06-18,-0.025570495179950907
2024-06-19,0.06792306985732303
2024-06-20,-0.8794547806027925
2024-06-21,-0.461954061069358
2024-06-22,-0.8904621347331959
2024-06-23,0.32605867961694457
2024-06-24,-0.7132782626949801
2024-06-25,-0.4307408347755709
2024-06-26,0.7048742822638363
2024-06-27,-0.06431583640967234
2024-06-28,0.5497993537354212
2024-06-29,0.0641028760338416
2024-06-30,-0.19619242581893256
2024-07-01,-0.5231451434861483
2024-07-02,-0.49087092209504035
2024-07-03,0.43473954173059104
2024-07-04,0.06426050922902449
2024-07-05,-0.5983942341064356
2024-07-06,0.03909280491204717
2024-07-07,-0.6011678637786078
2024-07-08,-0.8463851649992594
2024-07-09,-0.19613097950777664
2024-07-10,-0.6483875087495404
2024-07-11,-0.17924627427598852
2024-07-12,-0.5509424662436986
2024-07-13,-0.3240727966883088
2024-07-14,0.03219902113789864
2024-07-15,-0.16998963732988617
2024-07-16,0.2904424232531684
2024-07-17,0.3787022794835848
2024-07-18,-0.43339997106488876
2024-07-19,-0.27561779625513194
2024-07-20,-0.7490134541412813
2024-07-21,-0.33722822657686324
2024-07-22,0.21764254817337714
2024-07-23,-0.5889522020664596
2024-07-24,0.6915706430159196
2024-07-25,-0.5776276504150369
2024-07-26,0.7962394594324654
2024-07-27,0.8032150562292985
2024-07-28,0.7408715494344158
2024-07-29,-0.22402464909131986
2024-07-30,0.14232415667388112
2024-07-31,-0.4677604676488218
2024-08-01,-0.3666654048310521
2024-08-02,-0.41699826216619074
2024-08-03,-0.11994552176921769
2024-08-04,-0.15690702172450938
2024-08-05,-0.227615864221731
2024-08-06,-0.07432125865539507
2024-08-07,0.03855482261480729
2024-08-08,-0.5406094194494299
2024-08-09,-0.6159043418640197
2024-08-10,0.507731260898124
2024-08-11,0.19268789592342825
2024-08-12,-0.09217993533729225
2024-08-13,-0.14548892853576167
2024-08-14,-0.2751859636945282
2024-08-15,-0.20317764183920425
2024-08-16,-0.29414284221934706
2024-08-17,-0.2567955682946847
2024-08-18,-0.5042289190724669
2024-08-19,-0.6425704628580464
2024-08-20,-0.015986133204422274
2024-08-21,-0.18521128125025882
2024-08-22,-0.18074875707806573
2024-08-23,-0.6021462249833378
2024-08-24,-0.46294957000034564
2024-08-25,-0.2785911862775322
2024-08-26,-0.6731153243590108
2024-08-27,-0.5780485134832047
2024-08-28,-0.3184636250689957
2024-08-29,-0.3359579502974338
2024-08-30,-0.22701647810589728
2024-08-31,0.08663991882504217
2024-09-01,-0.005606524288778131
2024-09-02,0.4849626120948579
2024-09-03,0.008458730441665882
2024-09-04,-0.6540582911595451
2024-09-05,-0.42874485151560415
2024-09-06,-0.07692283624515836
2024-09-07,0.01891687899834907
2024-09-08,-0.5563385905754037
2024-09-09,-0.22942742642602332
2024-09-10,-0.3935958939641072
2024-09-11,-0.17900512505180546
2024-09-12,-0.08817373276971659
2024-09-13,-0.145640801991696
2024-09-14,-0.5391822885248432
2024-09-15,0.673444709400587
2024-09-16,-0.2387197606977275
2024-09-17,0.2630364620389343
2024-09-18,-0.29408406778435464
2024-09-19,-0.3515398516614686
2024-09-20,-0.12514383939802826
2024-09-21,-0.6348997797202992
2024-09-22,-0.48946960864400213
2024-09-23,-0.4489173963303163
2024-09-24,-0.4733182748979442
2024-09-25,-0.3990725341344205
2024-09-26,-0.5579330757914542
2024-09-27,-0.6348775765704823
2024-09-28,-0.09118357780540481
2024-09-29,-0.6502775764989662
2024-09-30,-0.2989109547709493
2024-10-01,0.20589885838933372
2024-10-02,-0.6652196872644709
2024-10-03,-0.7234530388318091
2024-10-04,0.07642396260384572
2024-10-05,0.27908487503831914
2024-10-06,-0.3420706492660612
2024-10-07,-0.6992871784410889
2024-10-08,-0.3177900878188387
2024-10-09,0.10981065854307885
2024-10-10,-0.36825273827764377
2024-10-11,-0.49000967194884804
2024-10-12,-0.2943357052332404
2024-10-13,0.39887728166686703
2024-10-14,-0.08575378552513999
2024-10-15,-0.1705931134679004
2024-10-16,-0.4911385010787536
2024-10-17,-0.28733197635903335
2024-10-18,0.34712626256078644
2024-10-19,0.2140940538949386
2024-10-20,0.4149247532353947
2024-10-21,-0.5599450425776739
2024-10-22,-0.552589772000499
2024-10-23,-0.2837148889069906
2024-10-24,-0.33250655645650534
2024-10-25,-0.12704806364022375
2024-10-26,0.7128807268499386
2024-10-27,0.00022938524635662328
2024-10-28,-0.5868307804612617
2024-10-29,0.2355911371222953
2024-10-30,-0.35875716436779653
2024-10-31,-0.12769319665291304
2024-11-01,-0.30880319273115764
2024-11-02,-0.36255429624729024
2024-11-03,0.04232207842443701
2024-11-04,0.18752646675741497
