date,daily_general_sentiment
2024-06-04,-0.3420678636393797
2024-06-05,0.07809271158244317
2024-06-06,-0.5114553760419134
2024-06-08,0.6803657045308338
2024-06-09,0.16292545406183162
2024-06-10,-0.3578992297405963
2024-06-11,0.1846049247067631
2024-06-12,0.14488110708744167
2024-06-13,-0.0075818428802178475
2024-06-14,-0.07720342230729983
2024-06-15,-0.14891703925463004
2024-06-16,-0.21944083367031741
2024-06-17,0.32016032945535294
2024-06-18,0.17517072010724807
2024-06-19,0.3231583649183191
2024-06-20,-0.7437271193078979
2024-06-21,-0.40492974430902823
2024-06-22,-0.10638424137835203
2024-06-23,-0.16361042033026252
2024-06-24,-0.4708857084540498
2024-06-25,0.5147000540511973
2024-06-26,0.2977723617750003
2024-06-27,-0.9059797879819145
2024-06-28,0.867407411345124
2024-06-29,0.24412350349219347
2024-06-30,0.4122175061287878
2024-07-01,-0.7609411824654883
2024-07-02,-0.38533403320069876
2024-07-03,0.5837472463564618
2024-07-04,0.39896150989739704
2024-07-05,-0.5328357277944153
2024-07-06,0.31002711553719786
2024-07-07,-0.3035564034292457
2024-07-08,-0.8300646083585708
2024-07-09,-0.11116458026010094
2024-07-10,-0.4787872951282303
2024-07-11,0.05881641949281588
2024-07-12,-0.17088423066418917
2024-07-13,-0.07678387899837269
2024-07-14,0.15350849200521388
2024-07-15,0.08985844335616995
2024-07-16,0.4119951242483478
2024-07-17,0.22427375052747583
2024-07-18,-0.15867324427558244
2024-07-19,0.10612954376700472
2024-07-20,0.047262268097774895
2024-07-21,-0.040599378421719026
2024-07-22,0.3973923846366132
2024-07-23,-0.07604406782900756
2024-07-24,0.6860304451704407
2024-07-25,-0.26390213436815196
2024-07-26,0.7925310118909291
2024-07-27,0.8468642312008621
2024-07-28,0.8624252270742985
2024-07-29,0.24206497909813401
2024-07-30,0.4773063300568064
2024-07-31,-0.21331598350710043
2024-08-01,-0.1258625658031128
2024-08-02,0.47339777369266384
2024-08-03,0.005019077029814101
2024-08-04,0.008489223360707315
2024-08-05,0.30042751225087266
2024-08-06,0.2691730520729069
2024-08-07,0.044110631920792974
2024-08-08,-0.7808723935699133
2024-08-09,-0.5257224053730649
2024-08-10,0.8613435023991639
2024-08-11,0.15554933563821677
2024-08-12,0.4059672997747659
2024-08-13,0.03300120970124497
2024-08-14,-0.1872290997089218
2024-08-15,-0.07385789018298175
2024-08-16,0.03191474894969154
2024-08-17,0.10321202557498149
2024-08-18,-0.32181084736852683
2024-08-19,-0.22636393561072196
2024-08-20,0.14468689734060017
2024-08-21,-0.06436896623115566
2024-08-22,0.2183743570526051
2024-08-23,-0.47618977058717454
2024-08-24,-0.15633479400014078
2024-08-25,0.3357093239798122
2024-08-26,0.2507303591298373
2024-08-27,-0.05079060735542205
2024-08-28,0.10439457066775272
2024-08-29,-0.04734092084478384
2024-08-30,0.026385862084460365
2024-08-31,0.15279797710596904
2024-09-01,0.03076894347579672
2024-09-02,0.6709547231870194
2024-09-03,0.09902548165820968
2024-09-04,-0.0053987930469913264
2024-09-05,0.2368281933414699
2024-09-06,-0.2647085567998863
2024-09-07,0.2619280564650561
2024-09-08,-0.14943792691351349
2024-09-09,0.25770189688130163
2024-09-10,-0.2627989851299386
2024-09-11,0.5104357336578831
2024-09-12,0.00483968829950928
2024-09-13,0.01684007593120623
2024-09-14,-0.3138819265094818
2024-09-15,0.2523522773317233
2024-09-16,-0.006999329851831566
2024-09-17,0.2777250185530096
2024-09-18,0.33264423892871775
2024-09-19,0.07912949175260549
2024-09-20,0.2254120389904893
2024-09-21,-0.5583497347663691
2024-09-22,-0.06083117366279646
2024-09-23,0.21093657084383982
2024-09-24,0.018306515469361986
2024-09-25,0.18303481655090703
2024-09-26,-0.36026495260067115
2024-09-27,-0.6505907574675465
2024-09-28,0.0710506871484965
2024-09-29,-0.6280425815014168
2024-09-30,0.4804031805453576
2024-10-01,-0.2726387255239822
2024-10-02,-0.46790582039568474
2024-10-03,0.08087674020092255
2024-10-04,0.5339983934765733
2024-10-05,0.5568318789123657
2024-10-06,-0.07052408887044526
2024-10-07,-0.5302781436733077
2024-10-08,-0.040406033559179655
2024-10-09,0.24959861991154297
2024-10-10,-0.1653104018763347
2024-10-11,-0.3354808952429977
2024-10-12,-0.16323065811347384
2024-10-13,0.5649232049265104
2024-10-14,0.27997167380345095
2024-10-15,-0.1366690218053084
2024-10-16,-0.2984124481245791
2024-10-17,-0.15613502968009912
2024-10-18,0.17109733068433766
2024-10-19,0.2647720596010275
2024-10-20,0.539046562761527
2024-10-21,-0.4753897630341091
2024-10-22,-0.4905330858817508
2024-10-23,-0.1462776269432605
2024-10-24,0.13339174705293774
2024-10-25,0.19006847111177078
2024-10-26,0.7853334830031223
2024-10-27,0.33608553262185203
2024-10-28,-0.5003910168875261
2024-10-29,0.5768463760513324
2024-10-30,0.16982493684392538
2024-10-31,0.30988971978862495
2024-11-01,0.5043138489015687
2024-11-02,-0.28670008265253777
2024-11-03,0.2547883848426159
2024-11-04,0.25238753157595195
