Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-18 since:2024-06-17&src=typed_query",TheRevolutionReport,https://x.com/TheRevolutionR1,TheRevolutionR1,False,2024-06-17 20:47:57+00:00,False,"🇺🇸🤡🇺🇦KAMALA HARRIS LEFT ZELENSKY'S ""PEACE SUMMIT"" EARLY US Vice President #KamalaHarris made a brief appearance at #Ukrainian #President #VladimirZelensky's #peace conference in #Switzerland before departing early, missing the summit's critical sessions. During her short stay, Harris pledged an additional $1.5 billion in aid to #Ukraine and delivered a speech promising to pursue a just and lasting peace. The conference's final declaration, which Harris did not witness, attributed blame for the Ukraine conflict to #Russia and issued demands that led to several countries, including Brazil, India, Mexico, Saudi Arabia, and the United Arab Emirates, abstaining from signing. President #JoeBiden also chose to skip the event, attending a fundraising event in Los Angeles instead of joining discussions on Ukraine's future.",1802805403220398398,https://x.com/TheRevolutionR1/status/1802805403220398398,1,3,7,401,1,https://pbs.twimg.com/media/GQTZ85ubQAArCL0.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-19 since:2024-06-18&src=typed_query",theGrio.com,https://x.com/theGrio,theGrio,False,2024-06-18 14:26:04+00:00,False,#Migos rapper #Quavo is hosting the inaugural Rocket Foundation Summit against gun violence at the Carter Center in Atlanta on Tuesday with Vice President #KamalaHarris — the same day as Takeoff’s 30th birthday. Read More👇🏿 https://thegrio.com/2024/06/18/quavo-hosts-summit-against-gun-violence-featuring-vp-kamala-harris-on-late-rapper-takeoffs-birthday/,1803071689518973259,https://x.com/theGrio/status/1803071689518973259,1,6,16,1587,0,https://pbs.twimg.com/media/GQXMILQXIAAaJHI.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-24 since:2024-06-23&src=typed_query",Conservative Brief,https://x.com/ConservBrief,ConservBrief,True,2024-06-23 16:34:58+00:00,False,Kamala Harris just got the news she's been dreading. #KamalaHarris #Election2024 https://conservativebrief.com/kamala-harris-agrees-83960/?utm_source=CB&utm_medium=X,1804916066373587302,https://x.com/ConservBrief/status/1804916066373587302,4,10,19,7502,2,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-26 since:2024-06-25&src=typed_query",Gail Parkinson Hardie🟧💙,https://x.com/gailphardie,gailphardie,False,2024-06-25 13:21:15+00:00,False,The GOP has targeted Kamala Harris throughout her career. She is smarter and more courageous than all of them. She is a warrior for the people - a threat to the GOP. #MorningJoe #KamalaHarris,1805592091961049160,https://x.com/gailphardie/status/1805592091961049160,5,21,50,8829,0,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-26 since:2024-06-25&src=typed_query",Patti 💙 Patriot4Democracy,https://x.com/olivier_patti,olivier_patti,False,2024-06-25 22:17:28+00:00,False,THE CHOICE IS CLEAR Kamala Harris and Joe Biden TRUST WOMEN... #KamalaHarrisSpeaksForMe #KamalaHarris And when WOMEN VOTE WE WIN,1805727033638765042,https://x.com/olivier_patti/status/1805727033638765042,1,18,26,1164,0,https://pbs.twimg.com/media/GQ87KxWbwAEUruq.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-29 since:2024-06-28&src=typed_query",Christopher Webb,https://x.com/cwebbonline,cwebbonline,True,2024-06-28 11:37:44+00:00,False,Folks working on the Biden Harris campaign needs to see this… VP Kamala Harris is President Biden’s partner. The same way Biden was Obama’s partner. Use her more. Shes a huge asset. She’s got this. Be sure to check out the commentary after #KamalaHarris speaks. #BidenHarris2024,1806653204115112078,https://x.com/cwebbonline/status/1806653204115112078,243,1025,2814,133982,205,https://pbs.twimg.com/amplify_video_thumb/1806652092075134976/img/RLd5lzR9tcDECeq7.jpg,False,,,,,en,Top
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-29 since:2024-06-28&src=typed_query",Christopher Webb,https://x.com/cwebbonline,cwebbonline,True,2024-06-28 11:37:44+00:00,False,Folks working on the Biden Harris campaign needs to see this… VP Kamala Harris is President Biden’s partner. The same way Biden was Obama’s partner. Use her more. Shes a huge asset. She’s got this. Be sure to check out the commentary after #KamalaHarris speaks. #BidenHarris2024,1806653204115112078,https://x.com/cwebbonline/status/1806653204115112078,243,1025,2814,133982,205,https://pbs.twimg.com/amplify_video_thumb/1806652092075134976/img/RLd5lzR9tcDECeq7.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-30 since:2024-06-29&src=typed_query",TheDoubleV,https://x.com/TheVV_USA,TheVV_USA,False,2024-06-29 19:45:48+00:00,False,"Vice President Kamala Harris asks: ""What kind of country do we want to live in?"" @VP is united with American women! We can decide for ourselves what we want to do with our bodies! #TruthMatters #BidenDelivers #KamalaHarris #BidenHarris2024 #USDemocracy http://www.youtube.com/live/jw53gCXnvj0?si=SBMOq6Eo9egT9wr7",1807138416322293895,https://x.com/TheVV_USA/status/1807138416322293895,5,13,20,742,0,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-07-01 since:2024-06-30&src=typed_query",Christopher Webb,https://x.com/cwebbonline,cwebbonline,True,2024-06-30 01:10:39+00:00,False,In 2020 we elected the presidential ticket of Biden Harris. I repeat —> Joe Biden AND Kamala Harris. It’s time we have a conversation about VP #KamalaHarris and the fact that she’s not being covered by the media even though she’s out there every damn day fighting for the issues we claim to care about. The issues we voted for. She is a force!!!,1807220170492129531,https://x.com/cwebbonline/status/1807220170492129531,215,663,1887,79873,60,https://pbs.twimg.com/amplify_video_thumb/1807220036790272001/img/tb-25UTXJLUzC3Bk.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-07-02 since:2024-07-01&src=typed_query",ISAAC 🧊🃏,https://x.com/Jonny_2cold,Jonny_2cold,True,2024-07-01 05:17:08+00:00,False,#KamalaHarris HATES BLACK AMERICANS KAMALA HARRIS HATES BLACK AMERICANS KAMALA HARRIS HATES BLACK AMERICANS KAMALA HARRIS HATES BLACK AMERICANS KAMALA HARRIS HATES BLACK AMERICANS,1807644587588030610,https://x.com/Jonny_2cold/status/1807644587588030610,17,84,167,153831,42,https://pbs.twimg.com/ext_tw_video_thumb/1469222188725071878/pu/img/P6KPnFJiG1PJfEEc.jpg,False,,,,,en,Latest
