date,daily_political_sentiment
2024-06-04,-0.7019675780219038
2024-06-05,-0.02130614748850362
2024-06-06,-0.2172776790366767
2024-06-07,0.23422297258294686
2024-06-08,0.4074282973278155
2024-06-09,-0.5075662038340337
2024-06-10,-0.7965896313662332
2024-06-11,0.08742224091381924
2024-06-12,-0.022914828372245948
2024-06-13,0.5756873940533535
2024-06-14,0.07614292357687309
2024-06-15,0.2770178871486746
2024-06-16,-0.2688063263917873
2024-06-17,-0.6559381082293507
2024-06-18,-0.7348218333945203
2024-06-19,-0.565929906670135
2024-06-20,-0.8541471657048911
2024-06-21,-0.7482766584881068
2024-06-22,0.236266597618845
2024-06-23,-0.5595545405700011
2024-06-24,-0.18570615734885063
2024-06-25,0.4583257961899271
2024-06-26,0.045463460047941696
2024-06-27,-0.4772341988423083
2024-06-28,0.11522291678880998
2024-06-29,-0.5278293303304809
2024-06-30,-0.14225368057365423
2024-07-01,-0.4441357702935044
2024-07-02,-0.3448265555063562
2024-07-03,0.15832530437779704
2024-07-04,-0.20886018959146718
2024-07-05,-0.3968941455441239
2024-07-06,-0.21835468286514667
2024-07-07,0.1328335812886711
2024-07-08,-0.6975596668721683
2024-07-09,0.23053973167926475
2024-07-10,0.4737689709532101
2024-07-11,0.2276178236556904
2024-07-12,-0.17622687461444245
2024-07-13,-0.3136826024836626
2024-07-14,-0.09692572442335713
2024-07-15,-0.07184998884582199
2024-07-16,0.5738174322465176
2024-07-17,0.665197604316031
2024-07-18,0.0008142920868106866
2024-07-19,0.2625744995862772
2024-07-20,0.14479478714766802
2024-07-21,-0.5834872216022825
2024-07-22,-0.24307295040879567
2024-07-23,-0.09516450961252147
2024-07-24,-0.23450089094598775
2024-07-25,0.1263070419574385
2024-07-26,-0.36648048904229724
2024-07-27,0.5033342653094588
2024-07-28,-0.0747444273623482
2024-07-29,0.3688259886398537
2024-07-30,0.17627796749282482
2024-07-31,-0.08696281159874836
2024-08-01,-0.23174347685653623
2024-08-02,0.14742505768759911
2024-08-03,-0.20149959834165745
2024-08-04,-0.2210402528414585
2024-08-05,-0.170182306775489
2024-08-06,-0.21415434632070712
2024-08-07,0.2726740284686666
2024-08-08,-0.6358195620150754
2024-08-09,0.39629639287382984
2024-08-10,0.36904450366418295
2024-08-11,-0.4807641385340869
2024-08-12,0.3199653548676173
2024-08-13,-0.6069828450077616
2024-08-14,-0.6017208298679018
2024-08-15,-0.19696145698887896
2024-08-16,-0.17990020310781035
2024-08-17,0.3121869126208332
2024-08-18,-0.8429315165699742
2024-08-19,0.382480793941735
2024-08-20,-0.3690684080497206
2024-08-21,-0.013014109558779706
2024-08-22,-0.00832777215624079
2024-08-23,-0.08517096063743741
2024-08-24,0.9205720773634155
2024-08-25,-0.32704889863517594
2024-08-26,0.21190397894948224
2024-08-27,-0.35528750076937704
2024-08-28,-0.11407126766654097
2024-08-29,0.2508854150774719
2024-08-30,-0.7705854144050783
2024-08-31,-0.766687039031747
2024-09-01,-0.1308964605011734
2024-09-02,0.5714929410332539
2024-09-03,-0.6160505428057116
2024-09-04,0.27900646857918643
2024-09-05,-0.0007939719785652565
2024-09-06,0.7396482685145418
2024-09-07,0.7042747407667241
2024-09-08,0.09766896129020722
2024-09-09,0.4754520197222094
2024-09-10,0.07120398792129137
2024-09-11,-0.14499721138364668
2024-09-12,-0.4357780957153406
2024-09-13,-0.011497253010131011
2024-09-14,0.35858899191035937
2024-09-15,-0.2956009838088492
2024-09-16,-0.36528417914281625
2024-09-17,0.5542960190796881
2024-09-18,0.3088851272736022
2024-09-19,0.05382829679727936
2024-09-20,0.9427970110521597
2024-09-21,0.3360715739446975
2024-09-22,-0.49758413765780646
2024-09-23,-0.45943938800182454
2024-09-24,0.39020273833590446
2024-09-25,0.9757658272707794
2024-09-26,-0.6065845913773519
2024-09-27,-0.18770729469543251
2024-09-28,0.37834061882521614
2024-09-29,-0.3983627667424787
2024-09-30,0.16897968445178832
2024-10-01,0.289997618898351
2024-10-02,-0.7264900160177354
2024-10-03,0.2028952231752609
2024-10-04,0.1458659761383819
2024-10-05,0.1737950294815018
2024-10-06,-0.7910176483762287
2024-10-07,-0.5933452053371816
2024-10-08,0.6163269055622186
2024-10-09,-0.1607579607245039
2024-10-10,0.016563272149468785
2024-10-11,0.564790003370782
2024-10-12,0.22331952096349172
2024-10-13,0.30816324948652124
2024-10-14,0.09595570998030034
2024-10-15,0.4442970322263849
2024-10-16,0.9462873448542419
2024-10-17,0.21392450894012074
2024-10-18,0.5455588637865179
2024-10-19,0.3454280905441825
2024-10-20,0.5152068765780388
2024-10-21,0.5566661743458831
2024-10-22,0.6239849612865046
2024-10-23,0.8223180562013988
2024-10-24,0.42899135712821634
2024-10-25,0.5755119769938722
2024-10-26,0.7470407330782634
2024-10-27,0.3900907101133766
2024-10-28,-0.529313029657798
2024-10-29,0.15821353381151243
2024-10-30,0.2019482633186539
2024-10-31,0.16316196040221603
2024-11-01,0.5484328719657814
2024-11-02,0.4462138146823687
2024-11-03,0.9408914067587295
2024-11-04,0.24013481084268243
